"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"112";"AT112";"MIO_EUR";2014;4517;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"113";"AT112";"MIO_EUR";2010;3804;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"114";"AT112";"MIO_EUR";2005;3239;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"115";"AT113";"MIO_EUR";2008;1988;"AT113 - Südburgenland";"Südburgenland";"AT";5
"116";"AT113";"MIO_EUR";2002;1717;"AT113 - Südburgenland";"Südburgenland";"AT";5
"117";"AT113";"MIO_EUR";2005;1768;"AT113 - Südburgenland";"Südburgenland";"AT";5
"118";"AT113";"MIO_EUR";2004;1739;"AT113 - Südburgenland";"Südburgenland";"AT";5
"119";"AT113";"MIO_EUR";2011;2195;"AT113 - Südburgenland";"Südburgenland";"AT";5
"120";"AT113";"MIO_EUR";2006;1792;"AT113 - Südburgenland";"Südburgenland";"AT";5
"121";"AT113";"MIO_EUR";2009;2003;"AT113 - Südburgenland";"Südburgenland";"AT";5
"122";"AT113";"MIO_EUR";2001;1621;"AT113 - Südburgenland";"Südburgenland";"AT";5
"123";"AT113";"MIO_EUR";2013;2243;"AT113 - Südburgenland";"Südburgenland";"AT";5
"124";"AT113";"MIO_EUR";2014;2324;"AT113 - Südburgenland";"Südburgenland";"AT";5
"125";"AT113";"MIO_EUR";2000;1559;"AT113 - Südburgenland";"Südburgenland";"AT";5
"126";"AT113";"MIO_EUR";2007;1915;"AT113 - Südburgenland";"Südburgenland";"AT";5
"127";"AT113";"MIO_EUR";2012;2252;"AT113 - Südburgenland";"Südburgenland";"AT";5
"128";"AT113";"MIO_EUR";2003;1732;"AT113 - Südburgenland";"Südburgenland";"AT";5
"129";"AT113";"MIO_EUR";2010;2114;"AT113 - Südburgenland";"Südburgenland";"AT";5
"130";"AT121";"MIO_EUR";2000;4758;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"131";"AT121";"MIO_EUR";2004;5250;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"132";"AT121";"MIO_EUR";2009;6216;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"133";"AT121";"MIO_EUR";2005;5447;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"134";"AT121";"MIO_EUR";2010;6340;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"135";"AT121";"MIO_EUR";2006;5827;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"136";"AT121";"MIO_EUR";2011;6719;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"137";"AT121";"MIO_EUR";2013;7041;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"138";"AT121";"MIO_EUR";2003;4993;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"139";"AT121";"MIO_EUR";2002;4855;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"140";"AT121";"MIO_EUR";2012;6936;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"141";"AT121";"MIO_EUR";2001;4894;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"142";"AT121";"MIO_EUR";2014;7175;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"143";"AT121";"MIO_EUR";2008;6463;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"144";"AT121";"MIO_EUR";2007;6283;"AT121 - Mostviertel-Eisenwurzen";"Mostviertel-Eisenwurzen";"AT";5
"145";"AT122";"MIO_EUR";2004;5280;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"146";"AT122";"MIO_EUR";2000;4684;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"147";"AT122";"MIO_EUR";2013;7033;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"148";"AT122";"MIO_EUR";2009;6140;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"149";"AT122";"MIO_EUR";2012;6897;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"150";"AT122";"MIO_EUR";2005;5533;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"151";"AT122";"MIO_EUR";2014;7299;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"152";"AT122";"MIO_EUR";2006;5750;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"153";"AT122";"MIO_EUR";2008;6405;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"154";"AT122";"MIO_EUR";2001;4860;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"155";"AT122";"MIO_EUR";2002;4939;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"156";"AT122";"MIO_EUR";2010;6404;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"157";"AT122";"MIO_EUR";2011;6683;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"158";"AT122";"MIO_EUR";2003;5081;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
"159";"AT122";"MIO_EUR";2007;6241;"AT122 - Niederösterreich-Süd";"Niederösterreich-Süd";"AT";5
